,word,ner
229, मामयें ,o
230, देखता ,o
231, भया ,o
232,तब ,o
233, उस ,B-PERSON
234, वानर ,B-PERSON
235, ने ,o
236, सारे ,o
237, जगह ,o
238, में ,o
239, सुहावना ,o
240, एक ,o
241, पर्वत ,I-LOCATION
242," देखा, ",o
243, जो ,o
244, चाटियों ,o
245, में ,o
246, सब ,o
247, ओर ,o
248, से ,o
249, घिरा ,o
250, हुआ ,o
251, विचित्रकूट ,B-LOCATION
252, नामी ,B-PERSON
253, था ,B-LOCATION
254, वड़ ,B-PERSON
255, महादानर ,B-PERSON
256, पत्तों ,o
257, से ,o
258, पूर्ण ,o
259, उस ,o
260, वोक्षम ,o
261, पर ,o
262, चढ़ ,o
263," गया, ",o
264, कि ,o
265, यहां ,o
266, से ,o
267, मैं ,B-PERSON
268, राम ,B-LOCATION
269, के ,B-PERSON
270, देखने ,o
271, की ,o
272, लालसा ,o
273, गळी ,o
274, वैदेही ,B-PERSON
275, को ,B-LOCATION
276, देखूगा ,B-PERSON
277, और ,o
278, नद ,I-LOCATION
279, नदियों ,I-LOCATION
280, का ,I-LOCATION
281, पति ,B-PERSON
282, श्रीमान ,B-PERSON
283, सागर ,B-LOCATION
284, मैंने ,B-PERSON
285, लेघा ,B-LOCATION
286," है, ",B-PERSON
287, इस ,B-LOCATION
288, विशालनत्रा ,B-PERSON
289, के ,o
290, हेतु ,o
291, मैंने ,o
292, यह ,B-PERSON
293, सारी ,B-LOCATION
294, पुरी ,B-PERSON
295, ढूंढ़ी ,o
296, है ,o
297, से ,o
298, यह ,o
299, सुवर्ण ,B-PERSON
300, तुल्य ,B-LOCATION
301," रङ्गवाली, ",B-PERSON
302, नित्य ,o
303, हंसती ,o
304, हुई ,o
305, बोलने ,o
306, पाली ,o
307, इस ,o
308, तीन ,B-COUNT
309, दुःख ,o
310, को ,o
311, सह ,o
312, रही ,o
313," है, ",o
314, जोकि ,o
315, अनयों ,o
316, की ,o
317, योग्या ,o
318, नहीं ,o
319, है ,o
320, पति ,o
321, स्त्री ,B-PERSON
322, को ,o
323, भूषण ,B-PERSON
324, से ,o
325, भी ,o
326, बढ़कर ,o
327, शोभा ,o
328, देनेवाला ,o
329, होता ,o
330, है। ,o
331, यह ,o
332, बम ,o
333, से ,o
334, रहित ,o
335, हुई ,o
336, शोभा ,o
337, के ,o
338, योग्य ,o
339, भी ,o
340, शोभा ,o
341, नहीं ,o
342, पाती ,o
343, है ,o
344,उस ,o
345, समय ,o
346, मङ्गक ,B-PERSON
347, बाओं ,B-PERSON
348, और ,o
349, कानों ,B-PERSON
350, के ,o
351, प्यारे ,B-PERSON
352, शब्दों ,o
353, से ,o
354, महाबाहु ,B-PERSON
355, महाबड़ी ,B-LOCATION
356, रावण ,B-PERSON
357, जागा ,B-LOCATION
358, पहाने ,B-PERSON
359, जम्बी ,B-PERSON
360, महावानर ,B-PERSON
361, ने ,B-PERSON
362, उस ,B-PERSON
363, बेजात्री ,B-PERSON
364, को ,B-PERSON
365," देखा, ",o
366, तब ,B-PERSON
367, वह ,B-PERSON
368, बुद्धिमान् ,B-PERSON
369, वानर ,B-PERSON
370," "" ",B-PERSON
371, यह ,B-LOCATION
372, महावाहु ,B-PERSON
373, रावण ,B-PERSON
374," है"" ",o
375, ऐसा ,B-PERSON
376, सोचकर ,o
377, शाखाओं ,o
378, के ,o
379, अन्दर ,o
380, पत्नों ,B-PERSON
381, में ,o
382, छिय ,B-PERSON
383, गया ,o
384, ।। ,B-PERSON
385," ११, ",B-COUNT
386, १२ ,B-COUNT
387," च०१५, ",B-COUNT
388, २०) ,B-PERSON
389, रावण ,B-PERSON
390, को ,B-PERSON
391, देखकर ,B-PERSON
392, सीता ,B-PERSON
393, का ,B-PERSON
394, मय ,B-PERSON
395, मौर ,B-PERSON
396, रावण ,B-PERSON
397, का ,B-PERSON
398, प्रेम ,B-PERSON
399, दिखलाना ,o
400, तब ,B-PERSON
401, राक्षसाधिपति ,B-PERSON
402, रावण ,B-PERSON
403, को ,B-PERSON
404, देखते ,B-PERSON
405, ही ,B-PERSON
406, वरारोहा ,B-PERSON
407, सीता ,B-PERSON
408, मवल ,B-LOCATION
409, वायु ,B-PERSON
410, में ,B-LOCATION
411, कदली ,B-PERSON
412, की ,B-PERSON
413, तरह ,B-LOCATION
414, कांप ,B-PERSON
415, उठी ,B-PERSON
416, रावण ,B-PERSON
417, ने ,B-PERSON
418, राक्षसीगणों ,B-PERSON
419, से ,B-PERSON
420, रक्षा ,B-PERSON
421, की ,o
422," हुई, ",B-PERSON
423," दीन, ",o
424, दुःख ,B-PERSON
425, से ,B-PERSON
426, पीड़ित ,o
427, सीता ,B-PERSON
428, को ,B-PERSON
429, समुद्र ,B-PERSON
430, में ,o
431, टूटी ,o
432, हुई ,o
433, नौकावत ,B-PERSON
434, देखा ,o
435, ।। ,B-PERSON
436, ३ ,B-COUNT
437, ।। ,o
438, खाली ,B-PERSON
439, भूमि ,o
440, पर ,o
441, बैठी ,o
442," हुई, ",o
443, तीक्ष्ण ,B-PERSON
444, प्रवाही ,o
445, (मानों ,o
446, रावण ,B-PERSON
447, के ,B-PERSON
448, षध ,B-PERSON
449, के ,o
450, लिए ,o
451, तीक्ष्ण ,B-PERSON
452, व्रत ,o
453, करती ,o
454, ई) ,B-PERSON
455, कटकर ,o
456, भूमि' ,o
457, पर ,o
458, गिरी ,o
459, वनस्पति ,B-PERSON
460, की ,o
461, शाखा ,B-PERSON
462, की ,o
463, सरह ,o
464, मुझे ,B-PERSON
465, देख ,o
466, कर ,o
467, हे ,B-PERSON
468, हाथी ,B-PERSON
469, के ,B-PERSON
470, मूह ,B-PERSON
471, के ,B-PERSON
472, तुल्प ,B-PERSON
473, रानों ,B-LOCATION
474, वाळी ,B-PERSON
475, २ ,B-COUNT
476, स्तन ,B-PERSON
477, भीर ,B-LOCATION
478, उदर ,B-PERSON
479, को ,o
480, छिपानी ,o
481, हुई ,o
482, मानों ,o
483, भय ,o
484, मे ,o
485, अपने ,o
486, पाप ,o
487, को ,o
488, अदृश्य ,o
489, कर ,o
490, रही ,o
491,सारे ,o
492, लोकों ,o
493, से ,o
494, पल ,o
495, से ,o
496, हर ,o
497, कर ,o
498, जो ,o
499, मैं ,o
500, रत्न ,o
501, लाचा ,o
502," हूं, ",o
503, हे ,o
504, भरु ,o
505, तुझे ,o
506, यह ,o
507, सारे ,o
508, और ,o
509, गज्य ,o
510, देता ,o
511, हूं ,o
512, व० ,B-PERSON
513, २६) ,B-PERSON
514, सीता ,B-PERSON
515, का ,B-PERSON
516, पवित्र ,o
517, उत्तर ,o
518, जम ,B-PERSON
519, रौद्र ,B-PERSON
520, राक्षस ,B-PERSON
521, के ,B-PERSON
522, वचन ,B-PERSON
523, का ,o
524, सुनकर ,o
525, रोसी ,B-PERSON
526, दुई ,B-PERSON
527, कांपती ,B-PERSON
528," हुई, ",o
529, बेचारी ,B-PERSON
530, दुखिया ,B-PERSON
531, सीता ,B-PERSON
532, ।।पनियता ,B-PERSON
533, शुद्ध ,B-PERSON
534, इंधीवाली ,B-LOCATION
535, परारोहा ,B-PERSON
536, पति ,B-PERSON
537, काही ,B-PERSON
538, चिन्तन ,o
539, करती ,o
540, हुई ,o
541, मध्य ,o
542, में ,o
543, तुण ,o
544, रखकर ,o
545, (दुष्ट ,o
546, अभिप्राय ,o
547, चाके ,o
548, में ,o
549, माक्षाव ,B-PERSON
550, बात ,o
551, करना ,o
552, भी ,o
553, प ,o
554, प ,o
555, जानकर ,o
556, उत्तर ,o
557, देवी ,B-PERSON
558, भईमैं ,B-PERSON
559, पतिव्रता ,B-PERSON
560, महान ,B-PERSON
561, कुल ,B-PERSON
562, में ,o
563, उत्पन्न ,o
564, हुई ,o
565, श्रीर ,B-PERSON
566, महा ,B-PERSON
567, कुल ,B-LOCATION
568, को ,B-PERSON
569, पात ,o
570, 'हुई ,B-PERSON
571, ऐसा ,o
572, निन्दित ,o
573, अकार्य ,o
574, नीं ,o
575, करूंगी ,o
576," अमितेन्द्रिय, ",o
577, अनीति ,B-PERSON
578, में ,o
579," रत, ",o
580, राजा ,B-PERSON
581, को ,o
582, पाकर ,o
583, समृदिशाली ,B-PERSON
584, भी ,o
585, नगर ,B-PERSON
586, और ,o
587, देश ,o
588, नष्ट ,o
589, होजाते ,o
590, हैं ,o
591, मैं ,B-PERSON
592," ऐश्वर्य, ",o
593, धा ,B-PERSON
594, धन ,o
595, से ,o
596, लुभाई ,o
597, नहीं ,o
598," जासक्ती, ",o
599, मैं ,B-PERSON
600, राघव ,B-PERSON
601, से ,o
602, इस ,o
603, तरह ,o
604, अभिन्न ,o
605," हूं, ",o
606, जैसे ,o
607, मूर्प ,B-PERSON
608, से ,o
609, प्रभा ,o
610, ।। ,o
611, १० ,o
612, ।। ,o
613, उस ,B-PERSON
614, लोकनाथ ,B-PERSON
615, की ,o
616, पूजित ,B-PERSON
617, भुजा ,B-PERSON
618, को ,o
619, सिर ,o
620, के ,o
621, नीचे ,o
622, रखकर ,o
623, अब ,o
624, कैसे ,o
625, किसी ,o
626, दूसरे ,B-PERSON
627, की ,o
628, भुजा ,B-PERSON
629, को ,o
630, सिर ,o
631, के ,o
632, नीचे ,o
633, रखुगी ,B-PERSON
634,यह ,o
635, देदा ,o
636, काम ,o
637, । ,o
638, मनुष्यों ,B-PERSON
639, का ,o
640, जिसमें ,o
641, बच ,o
642, जाता ,o
643," है, ",o
644, उस ,o
645, जन ,B-PERSON
646, पर ,o
647, दया ,B-PERSON
648, और ,o
649, मेह ,o
650, । ,o
651, पत्रम ,o
652, होजाता ,o
653, है। ,o
654, इसकारण ,o
655, से ,o
656, हे ,o
657, वरानने ,B-PERSON
658, मैं ,o
659, तुझे ,o
660, मारवा ,o
661, नहीं ,o
662, हूं. ,o
663, जो ,o
664, वध ,o
665, के ,o
666," योग्य, ",o
667, अपमान ,o
668, के ,o
669, योग्य ,o
670, और ,o
671, मिथ्यात्यागाविषय ,o
672, त्याग) ,o
673, में ,o
674, रस ,o
675, है ,o
676, । ,o
677, जो ,o
678, २ ,B-COUNT
679, कठोर ,o
680, वाक्य ,o
681, तु ,o
682, मुझे ,o
683, कहती ,o
684," है,उनर ",o
685, में ,o
686, है ,o
687, मैथिलि ,B-PERSON
688, तेरा ,B-PERSON
689, दारुण ,B-PERSON
690, क्ध ,B-PERSON
691, युक्त ,o
692, है ,o
693, यह ,o
694, तरे ,o
695, काले ,B-PERSON
696, कैरे ,B-PERSON
697, विकृत ,o
698, क्रूर ,B-PERSON
699, नेत्र ,B-PERSON
700, हे ,o
701, अन.ये ,B-PERSON
702, मेरी ,o
703, ओर ,o
704, देखते ,o
705, हुए ,o
706, के ,o
707, थिली ,o
708, पर ,o
709, क्यों ,o
710, नहीं ,o
711, गिर ,o
712, पड़वे ,o
713, ।। ,o
714, १४ ,B-COUNT
715, । ,o
716, उत ,o
717, धर्मात्मा ,B-PERSON
718, की ,o
719, पत्नी ,B-PERSON
720, दश ,B-PERSON
721, ध.की ,B-PERSON
722, स्तुपा ,B-PERSON
723, मुझको ,o
724, ऐनी ,B-PERSON
725, बात ,o
726, करते ,o
727, हुए ,o
728, दे ,o
729, पापी ,B-PERSON
730, सरी ,B-PERSON
731, जिला ,o
732, क्यों ,B-PERSON
733, नहीं ,o
734, फट ,o
735, जातीमुझे ,o
736, धर्मास्मा ,B-PERSON
737, राम ,B-PERSON
738, की ,o
739, आशा ,B-PERSON
740, नहीं ,o
741, और ,o
742, आप ,B-PERSON
743, को ,o
744, बचाना ,o
745," है, ",o
746, इसलिये ,o
747, हे ,B-PERSON
748, रावण ,B-PERSON
749, मैं ,B-PERSON
750, तुझे ,o
751, अपने ,o
752, (पातिप्रस ,B-PERSON
753, के) ,B-PERSON
754, तेजस ,B-PERSON
755, भस्म ,o
756, नहीं ,o
757, करती ,o
758," है, ",o
759, यद्यपि ,o
760, त् ,o
761, भस्म ,B-PERSON
762, के ,o
763, योग्य ,o
764, है ,o
765, वण ,B-PERSON
766, का ,o
767, सीना ,B-PERSON
768, पर ,o
769, क्रोध ,B-PERSON
770, सीता ,B-PERSON
771, के ,B-PERSON
772, वचन ,o
773, को ,o
774, सुनकर ,o
775, साक्षसपति ,B-PERSON
776, रावण ,B-PERSON
777, क्रूर ,B-PERSON
778, मेवों ,B-PERSON
779, को ,o
780, मोड़कर ,o
781, जानकी ,B-PERSON
782, की ,o
783, ओर ,o
784, देखता ,o
785, भया ,o
786, शत्रुओं ,B-PERSON
787, के ,o
788, रुलाने ,o
789," वाला, ",o
790, राजा-रावण ,B-PERSON
791, यैथिली ,B-PERSON
792, को ,B-PERSON
793, यह ,o
794, कहकर ,o
795, फिर ,o
796, भयङ्कर ,B-PERSON
797," दर्शनवाली, ",o
798, राक्षसियों ,B-PERSON
799, की ,o
800, और ,o
801, देखता ,o
802, भया ,o
803,ई ,o
804, सीते ,o
805, बहुमूल्य ,o
806, शय्याओं ,o
807, से ,o
808, युक्त ,o
809, सबलोगों ,o
810, के ,o
811, मन ,o
812, को ,o
813, लुभानेवाले ,o
814, अन्तःपुर ,B-PERSON
815, में ,o
816, वास ,o
817, तू ,o
818, क्यों ,o
819, पसन्द ,o
820, नहीं ,o
821, करती ,o
822, बिलोकी ,B-PERSON
823, के ,o
824, ऐश्वर्य ,B-PERSON
825, को ,o
826, भोगने ,o
827, वाले ,o
828, रामसेमा ,B-PERSON
829, रावण ,B-PERSON
830, को ,B-PERSON
831, भर्ता ,B-PERSON
832, चनाकार ,B-PERSON
833, मुख ,B-PERSON
834, पूर्वक ,o
835, निहार ,B-PERSON
836, कर ,o
837, दीन ,B-PERSON
838, वा ,o
839, राज्यहीन ,B-PERSON
840," है, ",o
841, जो ,o
842, मेरा ,o
843, भा ,o
844," है, ",o
845, वह ,o
846, मेरा ,o
847, गुरु ,B-PERSON
848," है, ",o
849, उस ,o
850, पर ,o
851, सदा ,o
852, अनुरक्त ,o
853," है, ",o
854, जैसे ,o
855, सूर्य ,B-PERSON
856, पर ,o
857, सुघर्षला ,B-PERSON
858, खिया ,B-PERSON
859, सुन्दरी ,B-PERSON
860," "" ",B-PERSON
861, हा ,B-LOCATION
862," सम"" ",B-PERSON
863, का ,B-PERSON
864," लक्ष्मण, ",B-PERSON
865, हा ,B-LOCATION
866, परी ,B-PERSON
867, सास ,B-LOCATION
868," कोरपा, ",B-PERSON
869, हा ,B-PERSON
870," पुमित्रा, ",B-PERSON
871, पापार ,B-PERSON
872, २ ,B-COUNT
873, कहती ,B-PERSON
874, भई ,o
875, । ,o
876, विद्वानों ,B-PERSON
877, ने ,B-PERSON
878, यह ,o
879, कहावत ,o
880, ठीक ,o
881, कही ,o
882," है, ",o
883, किरिना ,B-PERSON
884, काळ ,B-PERSON
885, के ,B-PERSON
886, स्त्री ,B-PERSON
887, पा ,o
888, पुरुष ,B-PERSON
889, को ,o
890, प्रत्यु ,B-PERSON
891, दुर्बम ,o
892, है ,o
893, | ,o
894, जब ,o
895, कि ,o
896, में ,o
897, इन ,o
898, क्रूर ,B-PERSON
899, राक्षसियों ,B-PERSON
900, से ,o
901, यहां ,o
902, पीड़ित ,o
903, हो ,o
904, राप ,B-PERSON
905, में ,o
906, वियुक्त ,B-PERSON
907, हो ,o
908, दुखिपा ,B-PERSON
909, होकर ,o
910, मुईत ,B-PERSON
911, मी ,o
912, भीती ,o
913, हूं ,o
914, 1 ,o
915, विज्ञार ,B-PERSON
916, है ,o
917, मनुष्यता ,o
918, को ,o
919, और ,o
920, विकार ,o
921, है ,o
922, पराधीनता ,o
923," को, ",o
924, जिम ,o
925, में ,o
926, कि ,o
927, अपनी ,o
928, इच्छा ,o
929, से ,o
930, जीवन ,o
931, भी ,o
932, नही ,o
933, फामा ,B-PERSON
934, आरक्ता ,B-PERSON
935, ३१२ ,B-COUNT
936, मैं ,B-PERSON
937, राक्षस ,B-PERSON
938, रावण ,B-PERSON
939, को ,o
940, चाएं ,o
941, पाओं ,o
942, से ,o
943, भी ,o
944, नहीं ,o
945," छूगी, ",o
946, क्या ,o
947, फिर ,o
948, में ,o
949, उसे ,o
950, कामना ,o
951, कर ,o
952,वह ,o
953, भरत ,B-PERSON
954, का ,B-PERSON
955, पड़ा ,o
956, भाई ,B-PERSON
957, गम ,B-LOCATION
958, मुमो ,B-PERSON
959, जीती ,o
960, हुई ,o
961, नहीं ,o
962, जानता ,o
963," है, ",o
964, वह ,o
965, जानते ,o
966, तो ,o
967, क्या. ,o
968, पृथिवी ,B-PERSON
969, में ,o
970, ढूंद ,o
971, भाळ ,o
972, न ,o
973, करते ,o
974, अथवा ,o
975, निःसन्देह ,o
976, मेरे ,o
977, ही ,o
978, शोक ,B-PERSON
979, से ,o
980, वह ,B-PERSON
981, वीर ,B-PERSON
982, लक्ष्मण ,B-PERSON
983, का ,B-PERSON
984, बड़ा ,B-PERSON
985, भाई ,B-PERSON
986, पृथिवी ,B-PERSON
987, पर ,o
988, देह ,B-PERSON
989, को ,o
990, याग ,B-PERSON
991, कर ,o
992, यहाँ ,o
993, मे ,o
994, देवलोक ,B-PERSON
995, को ,o
996, चला ,o
997, गया ,o
998, पेरे ,o
999, वहां ,o
1000, चले ,o
1001, जाने ,o
1002, पर ,o
1003, यह ,B-PERSON
1004, यशस्विनी ,B-LOCATION
1005, राजपुषी ,B-PERSON
1006, मानकी ,B-LOCATION
1007, परित्राण ,B-PERSON
1008, न ,o
1009, देखती ,o
1010, हुई ,o
1011, जीवन ,o
1012, को ,o
1013, साग ,o
1014, देगी ,o
1015, इसी ,o
1016, सविशेष ,o
1017, यदि ,o
1018, में ,o
1019, इसे ,o
1020, तसल्ली ,o
1021, न ,o
1022, दे ,o
1023," सका, ",o
1024, तो ,o
1025, बिस्कुल ,o
1026, पन्दे। ,o
1027," नहीं, ",o
1028, कि ,o
1029, यह ,o
1030, जीवन ,o
1031, याग ,B-PERSON
1032, देनी ,o
1033, वह ,B-PERSON
1034, सची ,B-LOCATION
1035, प्रतिज्ञापाले ,B-PERSON
1036, उस ,B-PERSON
1037, वृद्ध ,B-PERSON
1038, पिता ,B-PERSON
1039, के ,B-PERSON
1040, वचन ,B-PERSON
1041, से ,o
1042, भार्या ,B-PERSON
1043, और ,B-PERSON
1044, भाई ,B-PERSON
1045, समेत ,B-PERSON
1046, वन ,B-PERSON
1047, को ,o
1048, रवाना ,o
1049, हुआ ,o
1050,",३४) ",o
1051, पनुमार ,B-PERSON
1052, का ,B-PERSON
1053, सीता ,B-PERSON
1054, के ,B-PERSON
1055, समीप ,o
1056, माना ,o
1057, और ,o
1058, सौता ,B-PERSON
1059, का ,o
1060, सन्देह ,B-PERSON
1061, तच ,B-LOCATION
1062, यह ,B-PERSON
1063, उस ,B-LOCATION
1064, वृक्ष ,B-PERSON
1065, ये ,o
1066, जरूर ,o
1067, कर ,o
1068, पास ,o
1069, श्रामणाम ,B-PERSON
1070, करके ,o
1071, पवनपुत्र ,B-PERSON
1072, हनुमान ,B-PERSON
1073, सिर ,B-PERSON
1074, पर ,B-LOCATION
1075, हाय ,B-PERSON
1076, बांधकर ,o
1077, मधुर ,B-PERSON
1078, वाणी ,B-PERSON
1079, से ,B-PERSON
1080, उस ,B-PERSON
1081, सीता ,B-PERSON
1082, से ,B-PERSON
1083, बोला ,B-PERSON
1084, राम ,B-PERSON
1085, के ,B-PERSON
1086, सन्देश ,B-PERSON
1087, से ,B-PERSON
1088, हे ,B-PERSON
1089, देवि ,B-PERSON
1090, ! ,B-PERSON
1091, मैं ,B-PERSON
1092, तेरे ,B-PERSON
1093, पास ,o
1094, दृत ,B-PERSON
1095, आया ,B-PERSON
1096," हूं, ",o
1097, से ,o
1098, पैदेहि ,B-PERSON
1099, ! ,B-PERSON
1100, राम ,B-PERSON
1101, कुशल ,B-PERSON
1102, से ,o
1103," हैं, ",o
1104, और ,o
1105, उन्होंने ,B-PERSON
1106, तुझ ,B-PERSON
1107, कुमाक ,B-PERSON
1108, कहा ,B-PERSON
1109, है ,o
1110, शोक ,B-PERSON
1111, से ,o
1112, सपी ,B-PERSON
1113, हुई ,o
1114, सीता ,B-PERSON
1115, के ,B-PERSON
1116, वचन ,B-PERSON
1117, को ,o
1118, पुनकर ,B-PERSON
1119, पवनपुत्र ,B-PERSON
1120, हनुमान ,B-PERSON
1121, उनके ,B-PERSON
1122, समीप ,B-COUNT
1123, २ ,B-COUNT
1124, होता ,o
1125, गया ,o
1126, तव ,B-PERSON
1127, उस ,B-PERSON
1128, महाबाहू ,B-PERSON
1129, ने ,B-PERSON
1130, जनकपुत्री ,B-PERSON
1131, को ,B-PERSON
1132, प्रणाम ,o
1133," किया, ",o
1134, पर ,o
1135, वह ,B-PERSON
1136, भय ,o
1137, से ,o
1138, डरी ,o
1139, हुई ,o
1140, फिर ,o
1141, उसकी ,o
1142, ओर ,o
1143, नहीं ,o
1144, देखती ,o
1145, भई ,o
1146," , ",B-PERSON
1147," ३५, ",B-COUNT
1148, ३६ ,B-COUNT
1149, ) ,B-PERSON
1150, हनुमान ,B-PERSON
1151, मोर ,B-PERSON
1152, सीता ,B-PERSON
1153, का ,B-PERSON
1154, सम्बाद। ,B-PERSON
1155, सीता ,B-PERSON
1156, के ,B-PERSON
1157, वचन ,o
1158, को ,o
1159, सुनकर ,o
1160, भयङ्कर ,B-PERSON
1161, पराक्रम ,o
1162, वाला ,B-PERSON
1163, इनुपान् ,B-PERSON
1164, हाथ ,B-PERSON
1165, जो ,o
1166, हुए ,o
1167, माथे ,B-PERSON
1168, पर ,o
1169, रखकर ,o
1170, यह ,o
1171, उत्तर ,o
1172, वाक्य ,o
1173, बोला ,o
1174,देव ,B-PERSON
1175, निःसन्देह ,B-PERSON
1176, रोका ,o
1177, नहीं ,o
1178," जासक्ता, ",o
1179, राम ,B-PERSON
1180, लक्ष्मण ,B-PERSON
1181, और ,B-PERSON
1182, मुझको ,B-PERSON
1183, विपत्तियों ,o
1184, से ,o
1185, मोहित ,o
1186, हुआ ,o
1187, देख ,o
1188, उसके ,B-PERSON
1189, भाई ,B-PERSON
1190, विभीषण ,B-PERSON
1191, ने ,B-PERSON
1192, मेरे ,o
1193, कापिस ,B-PERSON
1194, देने ,o
1195, के ,o
1196, लिये ,o
1197, बहुत ,o
1198, यत्न ,o
1199," किया, ",o
1200, पर ,o
1201, रावण ,B-PERSON
1202, यह ,o
1203, बुद्धि ,o
1204, नहीं ,o
1205, करता ,o
1206, है ,o
1207, -४०) ,o
1208, सीता ,B-PERSON
1209, फे ,B-PERSON
