,0,1
17,2,"0.032*""रावण"" + 0.018*""सीता"" + 0.012*""भूषण"" + 0.009*""मान"" + 0.009*""राम"" + 0.009*""चन्द्र"" + 0.009*""सुन्दर"" + 0.006*""रान"" + 0.006*""तीक्ष्ण"" + 0.006*""चाह"""
18,3,"0.004*""रावण"" + 0.004*""सीता"" + 0.004*""भूषण"" + 0.004*""मान"" + 0.004*""सुन्दर"" + 0.004*""राम"" + 0.004*""भासती"" + 0.004*""नेत्रोंवाली"" + 0.004*""चन्द्र"" + 0.004*""दुःख"""
19,4,"0.004*""रावण"" + 0.004*""सीता"" + 0.004*""भूषण"" + 0.004*""चन्द्र"" + 0.004*""हुभा"" + 0.004*""सुन्दर"" + 0.004*""शोक"" + 0.004*""शाखा"" + 0.004*""पीड़ित"" + 0.004*""मान"""
20,0,"0.004*""पा"" + 0.004*""वचन"" + 0.004*""धन"" + 0.004*""सीता"" + 0.004*""तुल्य"" + 0.004*""जान"" + 0.004*""रूप"" + 0.004*""योग्य"" + 0.004*""छोड"" + 0.004*""पुरुष"""
21,1,"0.004*""छोड"" + 0.004*""पा"" + 0.004*""धन"" + 0.004*""तुझा"" + 0.004*""सीता"" + 0.004*""योग्य"" + 0.004*""सुन"" + 0.004*""नष्ट"" + 0.004*""राघव"" + 0.004*""तुल्य"""
22,2,"0.016*""पा"" + 0.013*""सीता"" + 0.010*""सुन"" + 0.010*""रूप"" + 0.010*""तुझा"" + 0.010*""योग्य"" + 0.010*""तुल्य"" + 0.010*""वचन"" + 0.010*""छोड"" + 0.010*""जान"""
23,3,"0.004*""पा"" + 0.004*""जान"" + 0.004*""योग्य"" + 0.004*""सुन"" + 0.004*""तुझा"" + 0.004*""उत्पन्न"" + 0.004*""रूप"" + 0.004*""वचन"" + 0.004*""छोड"" + 0.004*""सीता"""
24,4,"0.004*""पा"" + 0.004*""सीता"" + 0.004*""तुल्य"" + 0.004*""तुझा"" + 0.004*""योग्य"" + 0.004*""धन"" + 0.004*""मन"" + 0.004*""जान"" + 0.004*""छोड"" + 0.004*""सुन"""
25,0,"0.019*""तुझा"" + 0.019*""रावण"" + 0.019*""सीता"" + 0.019*""चाह"" + 0.016*""राम"" + 0.016*""कह"" + 0.010*""क्रोध"" + 0.010*""युक्त"" + 0.010*""योग्य"" + 0.010*""वचन"""
26,1,"0.005*""चाह"" + 0.005*""सीता"" + 0.005*""कह"" + 0.005*""वचन"" + 0.005*""राम"" + 0.005*""रावण"" + 0.005*""तुझा"" + 0.005*""योग्य"" + 0.005*""युक्त"" + 0.005*""भर"""
27,2,"0.005*""सीता"" + 0.005*""रावण"" + 0.005*""तुझा"" + 0.005*""चाह"" + 0.005*""कह"" + 0.005*""भर"" + 0.005*""राम"" + 0.005*""राक्षसी"" + 0.005*""योग्य"" + 0.005*""युक्त"""
28,3,"0.005*""चाह"" + 0.005*""तुझा"" + 0.005*""रावण"" + 0.005*""राम"" + 0.005*""कह"" + 0.005*""सीता"" + 0.005*""योग्य"" + 0.005*""राक्षसी"" + 0.005*""भर"" + 0.005*""युक्त"""
29,4,"0.005*""सीता"" + 0.005*""चाह"" + 0.005*""तुझा"" + 0.005*""राम"" + 0.005*""कह"" + 0.005*""रावण"" + 0.005*""राक्षसी"" + 0.005*""वचन"" + 0.005*""भर"" + 0.005*""योग्य"""
30,0,"0.022*""सीता"" + 0.013*""पा"" + 0.013*""राक्षसी"" + 0.010*""हा"" + 0.010*""जीवन"" + 0.010*""कह"" + 0.010*""शोक"" + 0.007*""रावण"" + 0.007*""भर"" + 0.007*""पीड़ित"""
31,1,"0.004*""सीता"" + 0.004*""राक्षसी"" + 0.004*""पा"" + 0.004*""जीवन"" + 0.004*""शोक"" + 0.004*""कह"" + 0.004*""हा"" + 0.004*""पन"" + 0.004*""मान"" + 0.004*""भो"""
32,2,"0.004*""सीता"" + 0.004*""राक्षसी"" + 0.004*""कह"" + 0.004*""जीवन"" + 0.004*""शोक"" + 0.004*""हा"" + 0.004*""चाह"" + 0.004*""पा"" + 0.004*""दुःख"" + 0.004*""भो"""
33,3,"0.004*""सीता"" + 0.004*""पा"" + 0.004*""राक्षसी"" + 0.004*""शोक"" + 0.004*""कह"" + 0.004*""मन"" + 0.004*""जीवन"" + 0.004*""सोच"" + 0.004*""हा"" + 0.004*""भर"""
34,4,"0.004*""सीता"" + 0.004*""पा"" + 0.004*""हा"" + 0.004*""राक्षसी"" + 0.004*""शोक"" + 0.004*""कह"" + 0.004*""जीवन"" + 0.004*""पति"" + 0.004*""शीशम"" + 0.004*""पकड"""
35,0,"0.005*""राम"" + 0.005*""रक्षा"" + 0.005*""मार"" + 0.005*""जान"" + 0.005*""भाई"" + 0.005*""सीता"" + 0.005*""प्यारा"" + 0.005*""रावण"" + 0.005*""शूरवीर"" + 0.005*""चल"""
36,1,"0.005*""राम"" + 0.005*""जान"" + 0.005*""सीता"" + 0.005*""भाई"" + 0.005*""रक्षा"" + 0.005*""मार"" + 0.005*""रावण"" + 0.005*""प्यारा"" + 0.005*""गम"" + 0.005*""चल"""
37,2,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""जान"" + 0.005*""मार"" + 0.005*""प्यारा"" + 0.005*""रक्षा"" + 0.005*""भाई"" + 0.005*""रावण"" + 0.005*""चल"" + 0.005*""शोक"""
38,3,"0.029*""राम"" + 0.017*""सीता"" + 0.017*""जान"" + 0.013*""रावण"" + 0.013*""भाई"" + 0.013*""रक्षा"" + 0.013*""मार"" + 0.010*""चल"" + 0.010*""प्यारा"" + 0.007*""तसल्ली"""
39,4,"0.005*""राम"" + 0.005*""जान"" + 0.005*""रक्षा"" + 0.005*""मार"" + 0.005*""भाई"" + 0.005*""सीता"" + 0.005*""रावण"" + 0.005*""चल"" + 0.005*""प्यारा"" + 0.005*""प्रकार"""
40,0,"0.005*""सीता"" + 0.005*""कह"" + 0.005*""वचन"" + 0.005*""राम"" + 0.005*""देवि"" + 0.005*""हनुमान"" + 0.005*""सुन"" + 0.005*""वानर"" + 0.005*""भई"" + 0.005*""शोक"""
41,1,"0.005*""सीता"" + 0.005*""सुन"" + 0.005*""राम"" + 0.005*""कह"" + 0.005*""हनुमान"" + 0.005*""वचन"" + 0.005*""प्रणाम"" + 0.005*""भई"" + 0.005*""पवनपुत्र"" + 0.005*""रावण"""
42,2,"0.005*""सीता"" + 0.005*""राम"" + 0.005*""सुन"" + 0.005*""रावण"" + 0.005*""वचन"" + 0.005*""शोक"" + 0.005*""हनुमान"" + 0.005*""भई"" + 0.005*""वानर"" + 0.005*""कह"""
43,3,"0.033*""सीता"" + 0.017*""सुन"" + 0.017*""राम"" + 0.013*""भई"" + 0.013*""हनुमान"" + 0.013*""वचन"" + 0.013*""कह"" + 0.010*""रावण"" + 0.010*""कुशल"" + 0.010*""पवनपुत्र"""
44,4,"0.005*""सीता"" + 0.005*""राम"" + 0.005*""कह"" + 0.005*""सुन"" + 0.005*""भई"" + 0.005*""वचन"" + 0.005*""पवनपुत्र"" + 0.005*""प्रणाम"" + 0.005*""हनुमान"" + 0.005*""समीप"""
45,0,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""वचन"" + 0.005*""कह"" + 0.005*""वानर"" + 0.005*""मार"" + 0.005*""पति"" + 0.005*""सुन"" + 0.005*""रावण"" + 0.005*""बोली"""
46,1,"0.005*""राम"" + 0.005*""मार"" + 0.005*""वचन"" + 0.005*""कह"" + 0.005*""सीता"" + 0.005*""बोली"" + 0.005*""सुन"" + 0.005*""रावण"" + 0.005*""देवि"" + 0.005*""पति"""
47,2,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""वचन"" + 0.005*""राक्षस"" + 0.005*""मार"" + 0.005*""कह"" + 0.005*""रावण"" + 0.005*""पति"" + 0.005*""वानर"" + 0.005*""सुन"""
48,3,"0.049*""राम"" + 0.021*""सीता"" + 0.018*""वचन"" + 0.014*""रावण"" + 0.014*""सुन"" + 0.014*""वानर"" + 0.014*""मार"" + 0.014*""कह"" + 0.011*""राक्षस"" + 0.011*""देवि"""
49,4,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""वचन"" + 0.005*""देवि"" + 0.005*""रावण"" + 0.005*""मार"" + 0.005*""सुन"" + 0.005*""कह"" + 0.005*""वानर"" + 0.005*""बोली"""
50,0,"0.004*""कार्य"" + 0.004*""हनुमान"" + 0.004*""राक्षस"" + 0.004*""युद्ध"" + 0.004*""खडा"" + 0.004*""पवनपुत्र"" + 0.004*""राम"" + 0.004*""पास"" + 0.004*""नेत्र"" + 0.004*""सीता"""
51,1,"0.004*""कार्य"" + 0.004*""हनुमान"" + 0.004*""खडा"" + 0.004*""राक्षस"" + 0.004*""युद्ध"" + 0.004*""नेत्र"" + 0.004*""पवनपुत्र"" + 0.004*""रावण"" + 0.004*""पास"" + 0.004*""सीता"""
52,2,"0.004*""कार्य"" + 0.004*""खडा"" + 0.004*""युद्ध"" + 0.004*""हनुमान"" + 0.004*""सीता"" + 0.004*""राक्षस"" + 0.004*""राम"" + 0.004*""पास"" + 0.004*""पवनपुत्र"" + 0.004*""रावण"""
53,3,"0.025*""कार्य"" + 0.016*""हनुमान"" + 0.013*""राक्षस"" + 0.013*""युद्ध"" + 0.013*""खडा"" + 0.010*""राम"" + 0.010*""रावण"" + 0.010*""पास"" + 0.010*""सीता"" + 0.010*""नेत्र"""
54,4,"0.004*""कार्य"" + 0.004*""हनुमान"" + 0.004*""युद्ध"" + 0.004*""रावण"" + 0.004*""नेत्र"" + 0.004*""राक्षस"" + 0.004*""खडा"" + 0.004*""राम"" + 0.004*""सीता"" + 0.004*""पास"""
55,0,"0.023*""राक्षस"" + 0.014*""मार"" + 0.014*""रावण"" + 0.014*""हनुमान"" + 0.012*""वानर"" + 0.009*""युद्ध"" + 0.009*""गिर"" + 0.009*""कुमार"" + 0.009*""मर"" + 0.009*""उठा"""
56,1,"0.004*""राक्षस"" + 0.004*""हनुमान"" + 0.004*""राक्षसेंद्र"" + 0.004*""टूट"" + 0.004*""मार"" + 0.004*""रावण"" + 0.004*""वानर"" + 0.004*""भर"" + 0.004*""बांध"" + 0.004*""सेना"""
57,2,"0.004*""राक्षस"" + 0.004*""रावण"" + 0.004*""हनुमान"" + 0.004*""मार"" + 0.004*""वानर"" + 0.004*""आज्ञा"" + 0.004*""उठा"" + 0.004*""भया"" + 0.004*""भर"" + 0.004*""सेना"""
58,3,"0.004*""राक्षस"" + 0.004*""हनुमान"" + 0.004*""रावण"" + 0.004*""मार"" + 0.004*""वानर"" + 0.004*""बांध"" + 0.004*""उठा"" + 0.004*""युद्ध"" + 0.004*""मर"" + 0.004*""राक्षसेंद्र"""
59,4,"0.004*""राक्षस"" + 0.004*""हनुमान"" + 0.004*""मार"" + 0.004*""वानर"" + 0.004*""रावण"" + 0.004*""टूट"" + 0.004*""मर"" + 0.004*""बांध"" + 0.004*""सेना"" + 0.004*""भया"""
60,0,"0.004*""अहो"" + 0.004*""हनुमान"" + 0.004*""दूत"" + 0.004*""युक्त"" + 0.004*""आग"" + 0.004*""महात्मा"" + 0.004*""वानर"" + 0.004*""रावण"" + 0.004*""वध"" + 0.004*""भाग"""
61,1,"0.004*""वानर"" + 0.004*""हनुमान"" + 0.004*""पूंछ"" + 0.004*""रावण"" + 0.004*""जान"" + 0.004*""दूत"" + 0.004*""राक्षस"" + 0.004*""युक्त"" + 0.004*""वध"" + 0.004*""अहो"""
62,2,"0.015*""वानर"" + 0.015*""हनुमान"" + 0.013*""वध"" + 0.013*""अहो"" + 0.013*""पूंछ"" + 0.010*""युक्त"" + 0.010*""आग"" + 0.010*""राक्षस"" + 0.010*""जान"" + 0.010*""कह"""
63,3,"0.004*""वानर"" + 0.004*""अहो"" + 0.004*""जान"" + 0.004*""रावण"" + 0.004*""कह"" + 0.004*""पूंछ"" + 0.004*""हनुमान"" + 0.004*""दूत"" + 0.004*""राक्षस"" + 0.004*""आग"""
64,4,"0.004*""हनुमान"" + 0.004*""पूंछ"" + 0.004*""वध"" + 0.004*""अहो"" + 0.004*""कह"" + 0.004*""दूत"" + 0.004*""वानर"" + 0.004*""आग"" + 0.004*""जान"" + 0.004*""राक्षस"""
65,0,"0.017*""वानर"" + 0.017*""राक्षस"" + 0.017*""मार"" + 0.014*""हनुमान"" + 0.010*""वानरश्रेष्ठ"" + 0.010*""ध्वनि"" + 0.010*""चोटी"" + 0.010*""बडा"" + 0.010*""तुल्य"" + 0.010*""सब"""
66,1,"0.005*""मार"" + 0.005*""ध्वनि"" + 0.005*""राक्षस"" + 0.005*""वानर"" + 0.005*""तुल्य"" + 0.005*""अग्नि"" + 0.005*""हनुमान"" + 0.005*""सब"" + 0.005*""महातेजस्वी"" + 0.005*""बह"""
67,2,"0.005*""राक्षस"" + 0.005*""मार"" + 0.005*""हनुमान"" + 0.005*""वानर"" + 0.005*""सब"" + 0.005*""बह"" + 0.005*""बडा"" + 0.005*""अग्नि"" + 0.005*""चोटी"" + 0.005*""तुल्य"""
68,3,"0.005*""राक्षस"" + 0.005*""मार"" + 0.005*""वानर"" + 0.005*""हनुमान"" + 0.005*""अग्नि"" + 0.005*""चोटी"" + 0.005*""सब"" + 0.005*""बह"" + 0.005*""तुल्य"" + 0.005*""बडा"""
69,4,"0.005*""मार"" + 0.005*""वानर"" + 0.005*""हनुमान"" + 0.005*""राक्षस"" + 0.005*""अग्नि"" + 0.005*""बडा"" + 0.005*""बह"" + 0.005*""तुल्य"" + 0.005*""सब"" + 0.005*""चोटी"""
70,0,"0.005*""कह"" + 0.005*""सीता"" + 0.005*""राम"" + 0.005*""सब"" + 0.005*""रावण"" + 0.005*""हनुमान"" + 0.005*""वानर"" + 0.005*""दर्शन"" + 0.005*""सुग्रीव"" + 0.005*""महीना"""
71,1,"0.005*""सीता"" + 0.005*""सब"" + 0.005*""रावण"" + 0.005*""राम"" + 0.005*""कह"" + 0.005*""दर्शन"" + 0.005*""सुग्रीव"" + 0.005*""पीछे"" + 0.005*""हनुमान"" + 0.005*""दक्षिण"""
72,2,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""कह"" + 0.005*""रावण"" + 0.005*""सुग्रीव"" + 0.005*""महीना"" + 0.005*""दर्शन"" + 0.005*""सब"" + 0.005*""हनुमान"" + 0.005*""वानर"""
73,3,"0.020*""राम"" + 0.020*""सीता"" + 0.017*""कह"" + 0.014*""रावण"" + 0.014*""सब"" + 0.011*""महीना"" + 0.011*""सुग्रीव"" + 0.011*""वानर"" + 0.011*""दर्शन"" + 0.011*""हनुमान"""
74,4,"0.005*""राम"" + 0.005*""सीता"" + 0.005*""रावण"" + 0.005*""कह"" + 0.005*""सब"" + 0.005*""दर्शन"" + 0.005*""सौ"" + 0.005*""हनुमान"" + 0.005*""सुग्रीव"" + 0.005*""महीना"""
75,0,"0.005*""समुद्र"" + 0.005*""तु"" + 0.005*""सीता"" + 0.005*""राम"" + 0.005*""मन"" + 0.005*""हनुमान"" + 0.005*""पार"" + 0.005*""वच"" + 0.005*""कार्य"" + 0.005*""सुन"""
76,1,"0.005*""हनुमान"" + 0.005*""पार"" + 0.005*""सीता"" + 0.005*""समुद्र"" + 0.005*""मन"" + 0.005*""बडा"" + 0.005*""तु"" + 0.005*""कार्य"" + 0.005*""राम"" + 0.005*""वाक्य"""
77,2,"0.005*""हनुमान"" + 0.005*""पार"" + 0.005*""तु"" + 0.005*""सीता"" + 0.005*""समुद्र"" + 0.005*""बडा"" + 0.005*""बोल"" + 0.005*""राम"" + 0.005*""गला"" + 0.005*""मन"""
78,3,"0.012*""मन"" + 0.012*""राम"" + 0.012*""तु"" + 0.012*""समुद्र"" + 0.012*""सीता"" + 0.012*""हनुमान"" + 0.012*""पार"" + 0.008*""पा"" + 0.008*""सुन"" + 0.008*""वाक्य"""
79,4,"0.005*""पार"" + 0.005*""सीता"" + 0.005*""समुद्र"" + 0.005*""हनुमान"" + 0.005*""राम"" + 0.005*""तु"" + 0.005*""क्षण"" + 0.005*""वच"" + 0.005*""पा"" + 0.005*""कार्य"""
80,0,"0.013*""शोक"" + 0.009*""एव"" + 0.009*""रामो"" + 0.009*""समुद्र"" + 0.009*""सब"" + 0.009*""दिशम्"" + 0.009*""श्रुत्वा"" + 0.009*""स्म"" + 0.009*""ततः"" + 0.009*""दक्षिणां"""
81,1,"0.005*""शोक"" + 0.005*""समुद्र"" + 0.005*""रामो"" + 0.005*""श्रुत्वा"" + 0.005*""सब"" + 0.005*""ततः"" + 0.005*""स्म"" + 0.005*""दक्षिणां"" + 0.005*""नः"" + 0.005*""दिशम्"""
82,2,"0.005*""शोक"" + 0.005*""सागर"" + 0.005*""नः"" + 0.005*""स्म"" + 0.005*""एव"" + 0.005*""दिशम्"" + 0.005*""दक्षिणां"" + 0.005*""रामो"" + 0.005*""सब"" + 0.005*""श्रुत्वा"""
83,3,"0.005*""शोक"" + 0.005*""ततः"" + 0.005*""सागर"" + 0.005*""श्रुत्वा"" + 0.005*""नः"" + 0.005*""दक्षिणां"" + 0.005*""दिशम्"" + 0.005*""स्म"" + 0.005*""समुद्र"" + 0.005*""एव"""
84,4,"0.005*""सब"" + 0.005*""शोक"" + 0.005*""दक्षिणां"" + 0.005*""नः"" + 0.005*""दिशम्"" + 0.005*""स्म"" + 0.005*""ततः"" + 0.005*""सागर"" + 0.005*""समुद्र"" + 0.005*""श्रुत्वा"""
85,0,"0.035*""राम"" + 0.032*""समुद्र"" + 0.022*""भर"" + 0.018*""सागर"" + 0.015*""सेना"" + 0.015*""सुग्रीव"" + 0.015*""आकाश"" + 0.011*""वानर"" + 0.011*""सुन"" + 0.011*""वचन"""
86,1,"0.005*""राम"" + 0.005*""समुद्र"" + 0.005*""सागर"" + 0.005*""भर"" + 0.005*""सेना"" + 0.005*""सुग्रीव"" + 0.005*""आकाश"" + 0.005*""लक्ष्मण"" + 0.005*""सुन"" + 0.005*""पहुंच"""
87,2,"0.005*""राम"" + 0.005*""समुद्र"" + 0.005*""सागर"" + 0.005*""सेना"" + 0.005*""भर"" + 0.005*""सुग्रीव"" + 0.005*""पहुंच"" + 0.005*""आकाश"" + 0.005*""वृक्ष"" + 0.005*""वचन"""
88,3,"0.006*""समुद्र"" + 0.005*""राम"" + 0.005*""सागर"" + 0.005*""भर"" + 0.005*""आकाश"" + 0.005*""सुग्रीव"" + 0.005*""लक्ष्मण"" + 0.005*""चढ़ाई"" + 0.005*""पहुंच"" + 0.005*""सेना"""
89,4,"0.005*""समुद्र"" + 0.005*""राम"" + 0.005*""भर"" + 0.005*""सागर"" + 0.005*""आकाश"" + 0.005*""सेना"" + 0.005*""लक्ष्मण"" + 0.005*""सुन"" + 0.005*""चढ़ाई"" + 0.005*""वृक्ष"""
90,0,"0.004*""रावण"" + 0.004*""विभीषण"" + 0.004*""सीता"" + 0.004*""मार"" + 0.004*""वचन"" + 0.004*""राम"" + 0.004*""समझ"" + 0.004*""युद्ध"" + 0.004*""कह"" + 0.004*""सेना"""
91,1,"0.004*""विभीषण"" + 0.004*""सीता"" + 0.004*""रावण"" + 0.004*""हित"" + 0.004*""सब"" + 0.004*""वचन"" + 0.004*""युद्ध"" + 0.004*""कह"" + 0.004*""विसर्जन"" + 0.004*""मार"""
92,2,"0.020*""रावण"" + 0.016*""सीता"" + 0.016*""विभीषण"" + 0.013*""वचन"" + 0.010*""हित"" + 0.010*""मन्त्री"" + 0.010*""सब"" + 0.010*""सेना"" + 0.010*""कह"" + 0.010*""युद्ध"""
93,3,"0.004*""रावण"" + 0.004*""सीता"" + 0.004*""वचन"" + 0.004*""कह"" + 0.004*""विभीषण"" + 0.004*""राम"" + 0.004*""मन्त्री"" + 0.004*""सब"" + 0.004*""युद्ध"" + 0.004*""सेना"""
94,4,"0.004*""रावण"" + 0.004*""विभीषण"" + 0.004*""मार"" + 0.004*""सीता"" + 0.004*""वचन"" + 0.004*""राम"" + 0.004*""सब"" + 0.004*""युद्ध"" + 0.004*""जीत"" + 0.004*""सेना"""
95,0,"0.018*""सभा"" + 0.018*""बोल"" + 0.018*""रावण"" + 0.015*""काम"" + 0.011*""सब"" + 0.011*""पीछे"" + 0.011*""सेना"" + 0.011*""विचार"" + 0.011*""आरम्भ"" + 0.011*""जान"""
96,1,"0.005*""रावण"" + 0.005*""सेना"" + 0.005*""बोल"" + 0.005*""सभा"" + 0.005*""सोच"" + 0.005*""काम"" + 0.005*""विचार"" + 0.005*""योग्य"" + 0.005*""नगर"" + 0.005*""सब"""
97,2,"0.005*""रावण"" + 0.005*""बोल"" + 0.005*""सोच"" + 0.005*""जान"" + 0.005*""सभा"" + 0.005*""आरम्भ"" + 0.005*""काम"" + 0.005*""सेना"" + 0.005*""पीछे"" + 0.005*""युक्त"""
98,3,"0.005*""रावण"" + 0.005*""बोल"" + 0.005*""सभा"" + 0.005*""काम"" + 0.005*""सोच"" + 0.005*""विचार"" + 0.005*""आरम्भ"" + 0.005*""सेना"" + 0.005*""जान"" + 0.005*""पीछे"""
99,4,"0.005*""रावण"" + 0.005*""सभा"" + 0.005*""बोल"" + 0.005*""काम"" + 0.005*""जान"" + 0.005*""सोच"" + 0.005*""आरम्भ"" + 0.005*""विचार"" + 0.005*""सेना"" + 0.005*""रण"""
100,0,"0.019*""विभीषण"" + 0.017*""सुन"" + 0.017*""कह"" + 0.017*""राम"" + 0.017*""बोल"" + 0.014*""वाक्य"" + 0.011*""शत्रु"" + 0.011*""बडा"" + 0.011*""सीता"" + 0.009*""राजा"""
101,1,"0.004*""विभीषण"" + 0.004*""राम"" + 0.004*""बोल"" + 0.004*""कह"" + 0.004*""सुन"" + 0.004*""सीता"" + 0.004*""वाक्य"" + 0.004*""बडा"" + 0.004*""शत्रु"" + 0.004*""हित"""
102,2,"0.004*""बोल"" + 0.004*""कह"" + 0.004*""राम"" + 0.004*""विभीषण"" + 0.004*""सुन"" + 0.004*""वाक्य"" + 0.004*""सीता"" + 0.004*""तुल्य"" + 0.004*""बडा"" + 0.004*""हित"""
103,3,"0.004*""विभीषण"" + 0.004*""बोल"" + 0.004*""कह"" + 0.004*""वाक्य"" + 0.004*""बडा"" + 0.004*""राम"" + 0.004*""शत्रु"" + 0.004*""सुन"" + 0.004*""सीता"" + 0.004*""हित"""
104,4,"0.004*""विभीषण"" + 0.004*""सुन"" + 0.004*""वाक्य"" + 0.004*""राम"" + 0.004*""बोल"" + 0.004*""शत्रु"" + 0.004*""कह"" + 0.004*""सीता"" + 0.004*""तुल्य"" + 0.004*""राजा"""
105,0,"0.005*""कह"" + 0.005*""वाक्य"" + 0.005*""विभीषण"" + 0.005*""भाई"" + 0.005*""रावण"" + 0.005*""कठोर"" + 0.005*""राक्षस"" + 0.005*""सम्भावित"" + 0.005*""वचन"" + 0.005*""हि"""
106,1,"0.005*""कह"" + 0.005*""राक्षस"" + 0.005*""विभीषण"" + 0.005*""कठोर"" + 0.005*""वचन"" + 0.005*""वाक्य"" + 0.005*""रावण"" + 0.005*""हि"" + 0.005*""भाई"" + 0.005*""भय"""
107,2,"0.005*""कह"" + 0.005*""वाक्य"" + 0.005*""रावण"" + 0.005*""भाई"" + 0.005*""राक्षस"" + 0.005*""कठोर"" + 0.005*""वचन"" + 0.005*""विभीषण"" + 0.005*""हि"" + 0.005*""बडा"""
