,sentence,word,ner
175,1, है ,o
176,1, यह ,o
177,1, सोचकर ,o
178,1, वह ,o
179,1, फिर ,o
180,1, हूँढने ,o
181,1," लगा, ",o
182,1, और ,o
183,1, बह ,o
184,1, मावानर ,B-PERSON
185,1, एक ,B-COUNT
186,1, अवकाश ,B-PERSON
187,1, में ,o
188,1, फिस!! ,B-PERSON
189,1, ८. ,B-PERSON
190,1, संगर ,B-PERSON
191,1, (१० ,B-COUNT
192,1, १३ ,B-COUNT
193,1, हनुमान ,B-PERSON
194,1, के ,B-PERSON
195,1, अनेक ,o
196,1, विध ,o
197,1, विचार ,o
198,1, मुहूर्तभर ,o
199,1, यह ,o
200,1, सोचकर ,o
201,1, और ,o
202,1, मन ,o
203,1, से ,o
204,1, निश्चय ,o
205,1, करके ,o
206,1, वह ,o
207,1, महा ,B-PERSON
208,1, तेजस्वी ,B-PERSON
209,1, उस ,o
210,1, मन्दिर ,I-LOCATION
211,1, के ,I-LOCATION
212,1, कोट ,I-LOCATION
213,1, को ,o
214,1, फांद ,o
215,1, गया ,o
216,1, वह ,o
217,1, वानर ,B-PERSON
218,1, वहां ,o
219,1, विचरता ,o
220,1, हुआ ,o
221,1, मनोरम ,o
222,1," मणिभूमिप, ",B-PERSON
223,1, चान्दी ,B-LOCATION
224,1, की ,o
225,1, सी ,o
226,1," भूमि, ",o
227,1, और ,o
228,1, सुनहरी ,o
229,1, मामयें ,o
230,1, देखता ,o
231,1, भया ,o
232,2,तब ,o
233,2, उस ,B-PERSON
234,2, वानर ,B-PERSON
235,2, ने ,o
236,2, सारे ,o
237,2, जगह ,o
238,2, में ,o
239,2, सुहावना ,o
240,2, एक ,o
241,2, पर्वत ,I-LOCATION
242,2," देखा, ",o
243,2, जो ,o
244,2, चाटियों ,o
245,2, में ,o
246,2, सब ,o
247,2, ओर ,o
248,2, से ,o
249,2, घिरा ,o
250,2, हुआ ,o
251,2, विचित्रकूट ,B-LOCATION
252,2, नामी ,B-PERSON
253,2, था ,B-LOCATION
254,2, वड़ ,B-PERSON
255,2, महादानर ,B-PERSON
256,2, पत्तों ,o
257,2, से ,o
258,2, पूर्ण ,o
259,2, उस ,o
260,2, वोक्षम ,o
261,2, पर ,o
262,2, चढ़ ,o
263,2," गया, ",o
264,2, कि ,o
265,2, यहां ,o
266,2, से ,o
267,2, मैं ,B-PERSON
268,2, राम ,B-LOCATION
269,2, के ,B-PERSON
270,2, देखने ,o
271,2, की ,o
272,2, लालसा ,o
273,2, गळी ,o
274,2, वैदेही ,B-PERSON
275,2, को ,B-LOCATION
276,2, देखूगा ,B-PERSON
277,2, और ,o
278,2, नद ,I-LOCATION
279,2, नदियों ,I-LOCATION
280,2, का ,I-LOCATION
281,2, पति ,B-PERSON
282,2, श्रीमान ,B-PERSON
283,2, सागर ,B-LOCATION
284,2, मैंने ,B-PERSON
285,2, लेघा ,B-LOCATION
286,2," है, ",B-PERSON
287,2, इस ,B-LOCATION
288,2, विशालनत्रा ,B-PERSON
289,2, के ,o
290,2, हेतु ,o
291,2, मैंने ,o
292,2, यह ,B-PERSON
293,2, सारी ,B-LOCATION
294,2, पुरी ,B-PERSON
295,2, ढूंढ़ी ,o
296,2, है ,o
297,2, से ,o
298,2, यह ,o
299,2, सुवर्ण ,B-PERSON
300,2, तुल्य ,B-LOCATION
301,2," रङ्गवाली, ",B-PERSON
302,2, नित्य ,o
303,2, हंसती ,o
304,2, हुई ,o
305,2, बोलने ,o
306,2, पाली ,o
307,2, इस ,o
308,2, तीन ,B-COUNT
309,2, दुःख ,o
310,2, को ,o
311,2, सह ,o
312,2, रही ,o
313,2," है, ",o
314,2, जोकि ,o
315,2, अनयों ,o
316,2, की ,o
317,2, योग्या ,o
318,2, नहीं ,o
319,2, है ,o
320,2, पति ,o
321,2, स्त्री ,B-PERSON
322,2, को ,o
323,2, भूषण ,B-PERSON
324,2, से ,o
325,2, भी ,o
326,2, बढ़कर ,o
327,2, शोभा ,o
328,2, देनेवाला ,o
329,2, होता ,o
330,2, है। ,o
331,2, यह ,o
332,2, बम ,o
333,2, से ,o
334,2, रहित ,o
335,2, हुई ,o
336,2, शोभा ,o
337,2, के ,o
338,2, योग्य ,o
339,2, भी ,o
340,2, शोभा ,o
341,2, नहीं ,o
342,2, पाती ,o
343,2, है ,o
344,3,उस ,o
345,3, समय ,o
346,3, मङ्गक ,B-PERSON
347,3, बाओं ,B-PERSON
348,3, और ,o
349,3, कानों ,B-PERSON
350,3, के ,o
351,3, प्यारे ,B-PERSON
352,3, शब्दों ,o
353,3, से ,o
354,3, महाबाहु ,B-PERSON
355,3, महाबड़ी ,B-LOCATION
356,3, रावण ,B-PERSON
357,3, जागा ,B-LOCATION
358,3, पहाने ,B-PERSON
359,3, जम्बी ,B-PERSON
360,3, महावानर ,B-PERSON
361,3, ने ,B-PERSON
362,3, उस ,B-PERSON
363,3, बेजात्री ,B-PERSON
364,3, को ,B-PERSON
365,3," देखा, ",o
366,3, तब ,B-PERSON
367,3, वह ,B-PERSON
368,3, बुद्धिमान् ,B-PERSON
369,3, वानर ,B-PERSON
370,3," "" ",B-PERSON
371,3, यह ,B-LOCATION
372,3, महावाहु ,B-PERSON
373,3, रावण ,B-PERSON
374,3," है"" ",o
375,3, ऐसा ,B-PERSON
376,3, सोचकर ,o
377,3, शाखाओं ,o
378,3, के ,o
379,3, अन्दर ,o
380,3, पत्नों ,B-PERSON
381,3, में ,o
382,3, छिय ,B-PERSON
383,3, गया ,o
384,3, ।। ,B-PERSON
385,3," ११, ",B-COUNT
386,3, १२ ,B-COUNT
387,3," च०१५, ",B-COUNT
388,3, २०) ,B-PERSON
389,3, रावण ,B-PERSON
390,3, को ,B-PERSON
391,3, देखकर ,B-PERSON
392,3, सीता ,B-PERSON
393,3, का ,B-PERSON
394,3, मय ,B-PERSON
395,3, मौर ,B-PERSON
396,3, रावण ,B-PERSON
397,3, का ,B-PERSON
398,3, प्रेम ,B-PERSON
399,3, दिखलाना ,o
400,3, तब ,B-PERSON
401,3, राक्षसाधिपति ,B-PERSON
402,3, रावण ,B-PERSON
403,3, को ,B-PERSON
404,3, देखते ,B-PERSON
405,3, ही ,B-PERSON
406,3, वरारोहा ,B-PERSON
407,3, सीता ,B-PERSON
408,3, मवल ,B-LOCATION
409,3, वायु ,B-PERSON
410,3, में ,B-LOCATION
411,3, कदली ,B-PERSON
412,3, की ,B-PERSON
413,3, तरह ,B-LOCATION
414,3, कांप ,B-PERSON
415,3, उठी ,B-PERSON
416,3, रावण ,B-PERSON
417,3, ने ,B-PERSON
418,3, राक्षसीगणों ,B-PERSON
419,3, से ,B-PERSON
420,3, रक्षा ,B-PERSON
421,3, की ,o
422,3," हुई, ",B-PERSON
423,3," दीन, ",o
424,3, दुःख ,B-PERSON
425,3, से ,B-PERSON
426,3, पीड़ित ,o
427,3, सीता ,B-PERSON
428,3, को ,B-PERSON
429,3, समुद्र ,B-PERSON
430,3, में ,o
431,3, टूटी ,o
432,3, हुई ,o
433,3, नौकावत ,B-PERSON
434,3, देखा ,o
435,3, ।। ,B-PERSON
436,3, ३ ,B-COUNT
437,3, ।। ,o
438,3, खाली ,B-PERSON
439,3, भूमि ,o
440,3, पर ,o
441,3, बैठी ,o
442,3," हुई, ",o
443,3, तीक्ष्ण ,B-PERSON
444,3, प्रवाही ,o
445,3, (मानों ,o
446,3, रावण ,B-PERSON
447,3, के ,B-PERSON
448,3, षध ,B-PERSON
449,3, के ,o
450,3, लिए ,o
451,3, तीक्ष्ण ,B-PERSON
452,3, व्रत ,o
453,3, करती ,o
454,3, ई) ,B-PERSON
455,3, कटकर ,o
456,3, भूमि' ,o
457,3, पर ,o
458,3, गिरी ,o
459,3, वनस्पति ,B-PERSON
460,3, की ,o
461,3, शाखा ,B-PERSON
462,3, की ,o
463,3, सरह ,o
464,3, मुझे ,B-PERSON
465,3, देख ,o
466,3, कर ,o
467,3, हे ,B-PERSON
468,3, हाथी ,B-PERSON
469,3, के ,B-PERSON
470,3, मूह ,B-PERSON
471,3, के ,B-PERSON
472,3, तुल्प ,B-PERSON
473,3, रानों ,B-LOCATION
474,3, वाळी ,B-PERSON
475,3, २ ,B-COUNT
476,3, स्तन ,B-PERSON
477,3, भीर ,B-LOCATION
478,3, उदर ,B-PERSON
479,3, को ,o
480,3, छिपानी ,o
481,3, हुई ,o
482,3, मानों ,o
483,3, भय ,o
484,3, मे ,o
485,3, अपने ,o
486,3, पाप ,o
487,3, को ,o
488,3, अदृश्य ,o
489,3, कर ,o
490,3, रही ,o
491,4,सारे ,o
492,4, लोकों ,o
493,4, से ,o
494,4, पल ,o
495,4, से ,o
496,4, हर ,o
497,4, कर ,o
498,4, जो ,o
499,4, मैं ,o
500,4, रत्न ,o
501,4, लाचा ,o
502,4," हूं, ",o
503,4, हे ,o
504,4, भरु ,o
505,4, तुझे ,o
506,4, यह ,o
507,4, सारे ,o
508,4, और ,o
509,4, गज्य ,o
510,4, देता ,o
511,4, हूं ,o
512,4, व० ,B-PERSON
513,4, २६) ,B-PERSON
514,4, सीता ,B-PERSON
515,4, का ,B-PERSON
516,4, पवित्र ,o
517,4, उत्तर ,o
518,4, जम ,B-PERSON
519,4, रौद्र ,B-PERSON
520,4, राक्षस ,B-PERSON
521,4, के ,B-PERSON
522,4, वचन ,B-PERSON
523,4, का ,o
524,4, सुनकर ,o
525,4, रोसी ,B-PERSON
526,4, दुई ,B-PERSON
527,4, कांपती ,B-PERSON
528,4," हुई, ",o
529,4, बेचारी ,B-PERSON
530,4, दुखिया ,B-PERSON
531,4, सीता ,B-PERSON
532,4, ।।पनियता ,B-PERSON
533,4, शुद्ध ,B-PERSON
534,4, इंधीवाली ,B-LOCATION
535,4, परारोहा ,B-PERSON
536,4, पति ,B-PERSON
537,4, काही ,B-PERSON
538,4, चिन्तन ,o
539,4, करती ,o
540,4, हुई ,o
541,4, मध्य ,o
542,4, में ,o
543,4, तुण ,o
544,4, रखकर ,o
545,4, (दुष्ट ,o
546,4, अभिप्राय ,o
547,4, चाके ,o
548,4, में ,o
549,4, माक्षाव ,B-PERSON
550,4, बात ,o
551,4, करना ,o
552,4, भी ,o
553,4, प ,o
554,4, प ,o
555,4, जानकर ,o
556,4, उत्तर ,o
557,4, देवी ,B-PERSON
558,4, भईमैं ,B-PERSON
559,4, पतिव्रता ,B-PERSON
560,4, महान ,B-PERSON
561,4, कुल ,B-PERSON
562,4, में ,o
563,4, उत्पन्न ,o
564,4, हुई ,o
565,4, श्रीर ,B-PERSON
566,4, महा ,B-PERSON
567,4, कुल ,B-LOCATION
568,4, को ,B-PERSON
569,4, पात ,o
570,4, 'हुई ,B-PERSON
571,4, ऐसा ,o
572,4, निन्दित ,o
573,4, अकार्य ,o
574,4, नीं ,o
575,4, करूंगी ,o
576,4," अमितेन्द्रिय, ",o
577,4, अनीति ,B-PERSON
578,4, में ,o
579,4," रत, ",o
580,4, राजा ,B-PERSON
581,4, को ,o
582,4, पाकर ,o
583,4, समृदिशाली ,B-PERSON
584,4, भी ,o
585,4, नगर ,B-PERSON
586,4, और ,o
587,4, देश ,o
588,4, नष्ट ,o
589,4, होजाते ,o
590,4, हैं ,o
591,4, मैं ,B-PERSON
592,4," ऐश्वर्य, ",o
593,4, धा ,B-PERSON
594,4, धन ,o
595,4, से ,o
596,4, लुभाई ,o
597,4, नहीं ,o
598,4," जासक्ती, ",o
599,4, मैं ,B-PERSON
600,4, राघव ,B-PERSON
601,4, से ,o
602,4, इस ,o
603,4, तरह ,o
604,4, अभिन्न ,o
605,4," हूं, ",o
606,4, जैसे ,o
607,4, मूर्प ,B-PERSON
608,4, से ,o
609,4, प्रभा ,o
610,4, ।। ,o
611,4, १० ,o
612,4, ।। ,o
613,4, उस ,B-PERSON
614,4, लोकनाथ ,B-PERSON
615,4, की ,o
616,4, पूजित ,B-PERSON
617,4, भुजा ,B-PERSON
618,4, को ,o
619,4, सिर ,o
620,4, के ,o
621,4, नीचे ,o
622,4, रखकर ,o
623,4, अब ,o
624,4, कैसे ,o
625,4, किसी ,o
626,4, दूसरे ,B-PERSON
627,4, की ,o
628,4, भुजा ,B-PERSON
629,4, को ,o
630,4, सिर ,o
631,4, के ,o
632,4, नीचे ,o
633,4, रखुगी ,B-PERSON
634,5,यह ,o
635,5, देदा ,o
636,5, काम ,o
637,5, । ,o
638,5, मनुष्यों ,B-PERSON
639,5, का ,o
640,5, जिसमें ,o
641,5, बच ,o
642,5, जाता ,o
643,5," है, ",o
644,5, उस ,o
645,5, जन ,B-PERSON
646,5, पर ,o
647,5, दया ,B-PERSON
648,5, और ,o
649,5, मेह ,o
650,5, । ,o
651,5, पत्रम ,o
652,5, होजाता ,o
653,5, है। ,o
654,5, इसकारण ,o
655,5, से ,o
656,5, हे ,o
657,5, वरानने ,B-PERSON
658,5, मैं ,o
659,5, तुझे ,o
660,5, मारवा ,o
661,5, नहीं ,o
662,5, हूं. ,o
663,5, जो ,o
664,5, वध ,o
665,5, के ,o
666,5," योग्य, ",o
667,5, अपमान ,o
668,5, के ,o
669,5, योग्य ,o
670,5, और ,o
671,5, मिथ्यात्यागाविषय ,o
672,5, त्याग) ,o
673,5, में ,o
674,5, रस ,o
675,5, है ,o
676,5, । ,o
677,5, जो ,o
678,5, २ ,B-COUNT
679,5, कठोर ,o
680,5, वाक्य ,o
681,5, तु ,o
682,5, मुझे ,o
683,5, कहती ,o
684,5," है,उनर ",o
685,5, में ,o
686,5, है ,o
687,5, मैथिलि ,B-PERSON
688,5, तेरा ,B-PERSON
689,5, दारुण ,B-PERSON
690,5, क्ध ,B-PERSON
691,5, युक्त ,o
692,5, है ,o
693,5, यह ,o
694,5, तरे ,o
695,5, काले ,B-PERSON
696,5, कैरे ,B-PERSON
697,5, विकृत ,o
698,5, क्रूर ,B-PERSON
699,5, नेत्र ,B-PERSON
700,5, हे ,o
701,5, अन.ये ,B-PERSON
702,5, मेरी ,o
703,5, ओर ,o
704,5, देखते ,o
705,5, हुए ,o
706,5, के ,o
707,5, थिली ,o
708,5, पर ,o
709,5, क्यों ,o
710,5, नहीं ,o
711,5, गिर ,o
712,5, पड़वे ,o
713,5, ।। ,o
714,5, १४ ,B-COUNT
715,5, । ,o
716,5, उत ,o
717,5, धर्मात्मा ,B-PERSON
718,5, की ,o
719,5, पत्नी ,B-PERSON
720,5, दश ,B-PERSON
721,5, ध.की ,B-PERSON
722,5, स्तुपा ,B-PERSON
723,5, मुझको ,o
724,5, ऐनी ,B-PERSON
725,5, बात ,o
726,5, करते ,o
727,5, हुए ,o
728,5, दे ,o
729,5, पापी ,B-PERSON
730,5, सरी ,B-PERSON
731,5, जिला ,o
732,5, क्यों ,B-PERSON
733,5, नहीं ,o
734,5, फट ,o
735,5, जातीमुझे ,o
736,5, धर्मास्मा ,B-PERSON
737,5, राम ,B-PERSON
738,5, की ,o
739,5, आशा ,B-PERSON
740,5, नहीं ,o
741,5, और ,o
742,5, आप ,B-PERSON
743,5, को ,o
744,5, बचाना ,o
745,5," है, ",o
746,5, इसलिये ,o
747,5, हे ,B-PERSON
748,5, रावण ,B-PERSON
749,5, मैं ,B-PERSON
750,5, तुझे ,o
751,5, अपने ,o
752,5, (पातिप्रस ,B-PERSON
753,5, के) ,B-PERSON
754,5, तेजस ,B-PERSON
755,5, भस्म ,o
756,5, नहीं ,o
757,5, करती ,o
758,5," है, ",o
759,5, यद्यपि ,o
760,5, त् ,o
761,5, भस्म ,B-PERSON
762,5, के ,o
763,5, योग्य ,o
764,5, है ,o
765,5, वण ,B-PERSON
766,5, का ,o
767,5, सीना ,B-PERSON
768,5, पर ,o
769,5, क्रोध ,B-PERSON
770,5, सीता ,B-PERSON
771,5, के ,B-PERSON
772,5, वचन ,o
773,5, को ,o
774,5, सुनकर ,o
775,5, साक्षसपति ,B-PERSON
776,5, रावण ,B-PERSON
777,5, क्रूर ,B-PERSON
778,5, मेवों ,B-PERSON
779,5, को ,o
780,5, मोड़कर ,o
781,5, जानकी ,B-PERSON
782,5, की ,o
783,5, ओर ,o
784,5, देखता ,o
785,5, भया ,o
786,5, शत्रुओं ,B-PERSON
787,5, के ,o
788,5, रुलाने ,o
789,5," वाला, ",o
790,5, राजा-रावण ,B-PERSON
791,5, यैथिली ,B-PERSON
792,5, को ,B-PERSON
793,5, यह ,o
794,5, कहकर ,o
795,5, फिर ,o
796,5, भयङ्कर ,B-PERSON
797,5," दर्शनवाली, ",o
798,5, राक्षसियों ,B-PERSON
799,5, की ,o
800,5, और ,o
801,5, देखता ,o
802,5, भया ,o
803,6,ई ,o
804,6, सीते ,o
805,6, बहुमूल्य ,o
806,6, शय्याओं ,o
807,6, से ,o
808,6, युक्त ,o
809,6, सबलोगों ,o
810,6, के ,o
811,6, मन ,o
812,6, को ,o
813,6, लुभानेवाले ,o
814,6, अन्तःपुर ,B-PERSON
815,6, में ,o
816,6, वास ,o
817,6, तू ,o
818,6, क्यों ,o
819,6, पसन्द ,o
820,6, नहीं ,o
821,6, करती ,o
822,6, बिलोकी ,B-PERSON
823,6, के ,o
824,6, ऐश्वर्य ,B-PERSON
825,6, को ,o
826,6, भोगने ,o
827,6, वाले ,o
828,6, रामसेमा ,B-PERSON
829,6, रावण ,B-PERSON
830,6, को ,B-PERSON
831,6, भर्ता ,B-PERSON
832,6, चनाकार ,B-PERSON
833,6, मुख ,B-PERSON
834,6, पूर्वक ,o
835,6, निहार ,B-PERSON
836,6, कर ,o
837,6, दीन ,B-PERSON
838,6, वा ,o
839,6, राज्यहीन ,B-PERSON
840,6," है, ",o
841,6, जो ,o
842,6, मेरा ,o
843,6, भा ,o
844,6," है, ",o
845,6, वह ,o
846,6, मेरा ,o
847,6, गुरु ,B-PERSON
848,6," है, ",o
849,6, उस ,o
850,6, पर ,o
851,6, सदा ,o
852,6, अनुरक्त ,o
853,6," है, ",o
854,6, जैसे ,o
855,6, सूर्य ,B-PERSON
856,6, पर ,o
857,6, सुघर्षला ,B-PERSON
858,6, खिया ,B-PERSON
859,6, सुन्दरी ,B-PERSON
860,6," "" ",B-PERSON
861,6, हा ,B-LOCATION
862,6," सम"" ",B-PERSON
863,6, का ,B-PERSON
864,6," लक्ष्मण, ",B-PERSON
865,6, हा ,B-LOCATION
866,6, परी ,B-PERSON
867,6, सास ,B-LOCATION
868,6," कोरपा, ",B-PERSON
869,6, हा ,B-PERSON
870,6," पुमित्रा, ",B-PERSON
871,6, पापार ,B-PERSON
872,6, २ ,B-COUNT
873,6, कहती ,B-PERSON
874,6, भई ,o
875,6, । ,o
876,6, विद्वानों ,B-PERSON
877,6, ने ,B-PERSON
878,6, यह ,o
879,6, कहावत ,o
880,6, ठीक ,o
881,6, कही ,o
882,6," है, ",o
883,6, किरिना ,B-PERSON
884,6, काळ ,B-PERSON
885,6, के ,B-PERSON
886,6, स्त्री ,B-PERSON
887,6, पा ,o
888,6, पुरुष ,B-PERSON
889,6, को ,o
890,6, प्रत्यु ,B-PERSON
891,6, दुर्बम ,o
892,6, है ,o
893,6, | ,o
894,6, जब ,o
895,6, कि ,o
896,6, में ,o
897,6, इन ,o
898,6, क्रूर ,B-PERSON
899,6, राक्षसियों ,B-PERSON
900,6, से ,o
901,6, यहां ,o
902,6, पीड़ित ,o
903,6, हो ,o
904,6, राप ,B-PERSON
905,6, में ,o
906,6, वियुक्त ,B-PERSON
907,6, हो ,o
908,6, दुखिपा ,B-PERSON
909,6, होकर ,o
910,6, मुईत ,B-PERSON
911,6, मी ,o
912,6, भीती ,o
913,6, हूं ,o
914,6, 1 ,o
915,6, विज्ञार ,B-PERSON
916,6, है ,o
917,6, मनुष्यता ,o
918,6, को ,o
919,6, और ,o
920,6, विकार ,o
921,6, है ,o
922,6, पराधीनता ,o
923,6," को, ",o
924,6, जिम ,o
925,6, में ,o
926,6, कि ,o
927,6, अपनी ,o
928,6, इच्छा ,o
929,6, से ,o
930,6, जीवन ,o
931,6, भी ,o
932,6, नही ,o
933,6, फामा ,B-PERSON
934,6, आरक्ता ,B-PERSON
935,6, ३१२ ,B-COUNT
936,6, मैं ,B-PERSON
937,6, राक्षस ,B-PERSON
938,6, रावण ,B-PERSON
939,6, को ,o
940,6, चाएं ,o
941,6, पाओं ,o
942,6, से ,o
943,6, भी ,o
944,6, नहीं ,o
945,6," छूगी, ",o
946,6, क्या ,o
947,6, फिर ,o
948,6, में ,o
949,6, उसे ,o
950,6, कामना ,o
951,6, कर ,o
952,7,वह ,o
953,7, भरत ,B-PERSON
954,7, का ,B-PERSON
955,7, पड़ा ,o
956,7, भाई ,B-PERSON
957,7, गम ,B-LOCATION
958,7, मुमो ,B-PERSON
959,7, जीती ,o
960,7, हुई ,o
961,7, नहीं ,o
962,7, जानता ,o
963,7," है, ",o
964,7, वह ,o
965,7, जानते ,o
966,7, तो ,o
967,7, क्या. ,o
968,7, पृथिवी ,B-PERSON
969,7, में ,o
970,7, ढूंद ,o
971,7, भाळ ,o
972,7, न ,o
973,7, करते ,o
974,7, अथवा ,o
975,7, निःसन्देह ,o
976,7, मेरे ,o
977,7, ही ,o
978,7, शोक ,B-PERSON
979,7, से ,o
980,7, वह ,B-PERSON
981,7, वीर ,B-PERSON
982,7, लक्ष्मण ,B-PERSON
983,7, का ,B-PERSON
984,7, बड़ा ,B-PERSON
985,7, भाई ,B-PERSON
986,7, पृथिवी ,B-PERSON
987,7, पर ,o
988,7, देह ,B-PERSON
989,7, को ,o
990,7, याग ,B-PERSON
991,7, कर ,o
992,7, यहाँ ,o
993,7, मे ,o
994,7, देवलोक ,B-PERSON
995,7, को ,o
996,7, चला ,o
997,7, गया ,o
998,7, पेरे ,o
999,7, वहां ,o
1000,7, चले ,o
1001,7, जाने ,o
1002,7, पर ,o
1003,7, यह ,B-PERSON
1004,7, यशस्विनी ,B-LOCATION
1005,7, राजपुषी ,B-PERSON
1006,7, मानकी ,B-LOCATION
1007,7, परित्राण ,B-PERSON
1008,7, न ,o
1009,7, देखती ,o
1010,7, हुई ,o
1011,7, जीवन ,o
1012,7, को ,o
1013,7, साग ,o
1014,7, देगी ,o
1015,7, इसी ,o
1016,7, सविशेष ,o
1017,7, यदि ,o
1018,7, में ,o
1019,7, इसे ,o
1020,7, तसल्ली ,o
1021,7, न ,o
1022,7, दे ,o
1023,7," सका, ",o
1024,7, तो ,o
1025,7, बिस्कुल ,o
1026,7, पन्दे। ,o
1027,7," नहीं, ",o
1028,7, कि ,o
1029,7, यह ,o
1030,7, जीवन ,o
1031,7, याग ,B-PERSON
1032,7, देनी ,o
1033,7, वह ,B-PERSON
1034,7, सची ,B-LOCATION
1035,7, प्रतिज्ञापाले ,B-PERSON
1036,7, उस ,B-PERSON
1037,7, वृद्ध ,B-PERSON
1038,7, पिता ,B-PERSON
1039,7, के ,B-PERSON
1040,7, वचन ,B-PERSON
1041,7, से ,o
1042,7, भार्या ,B-PERSON
1043,7, और ,B-PERSON
1044,7, भाई ,B-PERSON
1045,7, समेत ,B-PERSON
1046,7, वन ,B-PERSON
1047,7, को ,o
